05	AR	5.755434329055447e-06
05	MT	9.592390548425744e-07
05	TK	2.8777171645277235e-06
05	TY	4.7961952742128724e-06
05	RT	2.8777171645277235e-06
05	MA	7.673912438740596e-06
05	TC	0.06949015484996063
05	GG	0.04333554278062299
05	RG	5.755434329055447e-06
05	CM	2.8777171645277235e-06
05	YY	2.8777171645277235e-06
05	MC	5.755434329055447e-06
05	MM	3.836956219370298e-06
05	KC	1.918478109685149e-06
05	AM	8.633151493583171e-06
05	TR	1.918478109685149e-06
05	AS	9.592390548425744e-07
05	TW	5.755434329055447e-06
05	WT	3.836956219370298e-06
05	TG	0.0579831231480691
05	WC	9.592390548425744e-07
05	RR	9.592390548425744e-07
05	AA	0.10007165515739674
05	AG	0.07149688295269128
05	KT	3.836956219370298e-06
05	GY	2.8777171645277235e-06
05	CY	9.592390548425744e-07
05	WR	9.592390548425744e-07
05	RY	9.592390548425744e-07
05	AT	0.076397635283882
05	TT	0.09935222586626481
05	WW	9.592390548425744e-07
05	YM	9.592390548425744e-07
05	WM	9.592390548425744e-07
05	CA	0.05843012854762574
05	YC	3.836956219370298e-06
05	GC	0.04793989024386734
05	CT	0.07136258948501333
05	GM	9.592390548425744e-07
05	YT	4.7961952742128724e-06
05	KG	2.8777171645277235e-06
05	RK	9.592390548425744e-07
05	GT	0.045613735535874105
05	CC	0.0428559232532017
05	ST	2.8777171645277235e-06
05	TM	3.836956219370298e-06
05	GS	9.592390548425744e-07
05	KY	9.592390548425744e-07
05	RC	2.8777171645277235e-06
05	SA	1.918478109685149e-06
05	CS	9.592390548425744e-07
05	SG	9.592390548425744e-07
05	TA	0.0659006823067397
05	WA	4.7961952742128724e-06
05	RA	4.7961952742128724e-06
05	KW	9.592390548425744e-07
05	CG	0.033811258205091066
05	GA	0.06972420917934222
05	KA	3.836956219370298e-06
05	SR	9.592390548425744e-07
05	GR	8.633151493583171e-06
05	YA	1.918478109685149e-06
05	MY	9.592390548425744e-07
05	GK	1.0551629603268319e-05
05	AW	3.836956219370298e-06
05	CW	9.592390548425744e-07
05	MS	2.8777171645277235e-06
05	RS	9.592390548425744e-07
05	AC	0.04616529799240858
05	CR	9.592390548425744e-07
08	GC	0.027218751869382756
08	CT	0.0678544848210162
08	AA	0.1271627579613475
08	AG	0.07134938851311114
08	GA	0.06529191472758344
08	CC	0.040560283989892
08	TC	0.06076497702309654
08	GT	0.038374958705166475
08	TA	0.09355940716517233
08	TG	0.050474277562718294
08	AT	0.0985692182248045
08	TT	0.12072750044595726
08	GG	0.04232525077348659
08	AC	0.03781879207290094
08	CA	0.04888607691806081
08	CG	0.009061959226303233
14	GC	0.1149374904975297
14	CT	0.04470401046993153
14	NC	2.310631074937925e-07
14	AA	0.031013521350924323
14	AG	0.04486205763545728
14	GA	0.06071899445032628
14	TC	0.06140917995241024
14	TA	0.016938312157939953
14	GT	0.05916093591649564
14	GG	0.09340910970922556
14	TN	2.310631074937925e-07
14	CG	0.12744216374887876
14	TG	0.06251319948001559
14	AT	0.0369959762670461
14	TT	0.03135503262380015
14	CC	0.09268634430898498
14	AC	0.05882635653684463
14	CA	0.06302708383108177
14	NN	2.310631074937925e-06
16	CT	0.046266692532629786
16	NC	6.993320958885007e-07
16	TC	0.07603530172473477
16	GT	0.05921272829171771
16	TA	0.014721639950548829
16	NG	1.3986641917770015e-07
16	CN	5.594656767108006e-07
16	GG	0.06405238612810449
16	GN	1.3986641917770015e-07
16	CG	0.09852945845540757
16	GC	0.07819316083980833
16	TG	0.06895806091434314
16	AA	0.06303975325325795
16	AG	0.04612332945297264
16	GA	0.07620495969119732
16	CC	0.06395168230629655
16	AN	1.3986641917770015e-07
16	NN	4.1959925753310044e-07
16	AT	0.05423544189886007
16	TT	0.0630814334461729
16	AC	0.05898041016946355
16	CA	0.0684127217459693
25	GC	0.038346395133764276
25	CT	0.05780128381810208
25	AA	0.10646364104404263
25	AG	0.058498144305592394
25	GA	0.06220953312080822
25	TC	0.061337590769545466
25	GT	0.05416790177387397
25	CC	0.03857868196292771
25	GG	0.03996893597030889
25	TG	0.06594172374162077
25	AT	0.08893811982880113
25	TT	0.10800297465820033
25	TA	0.07362625742581123
25	AC	0.05211719043879676
25	CA	0.06371766402657084
25	CG	0.030283961981233305
